商品,大类,二级类
65g格力高百力滋饼干巧克力味,非饮料,饼干糕点
68g多力多玉米片爆香热辣味,非饮料,膨化食品
70g乖媳妇野山泡椒凤爪,非饮料,肉干/豆制品/蛋
70g乐事薯片（黄瓜味）,非饮料,膨化食品
70g乐事薯片（原味）,非饮料,膨化食品
75g达利园柠檬蛋糕,非饮料,饼干糕点
75g新麦潮天然酵母面包（北海道牛奶风味）,非饮料,饼干糕点
78g卫龙亲语,非饮料,肉干/豆制品/蛋
80g马赛克香蕉片,非饮料,蜜饯/果干
80g盼盼手撕面包,非饮料,饼干糕点
80g四洲粟一烧烧烤味,非饮料,膨化食品
80g粤光宝盒芒果干,非饮料,蜜饯/果干
85g嘉士利果乐果香夹心饼干蓝莓味,非饮料,饼干糕点
85g统一老坛酸菜牛肉面,非饮料,方便速食
85g新麦潮北海道吐司,非饮料,饼干糕点
85g新麦潮手撕面包（提子味）,非饮料,饼干糕点
86g合味道海鲜风味,非饮料,方便速食
86g合味道浓猪骨味,非饮料,方便速食
90g顺宝九制杨梅,非饮料,蜜饯/果干
奥利奥原味芝士,非饮料,饼干糕点
多芙利香草奶油味蛋糕,非饮料,饼干糕点
多力多滋（热辣味）,非饮料,膨化食品
钙芝奶酪味高钙威化饼干,非饮料,饼干糕点
乖媳妇野山椒风爪,非饮料,肉干/豆制品/蛋
韩国海牌海苔,非饮料,海味零食
合味道（海鲜风味）,非饮料,方便速食
合味道（浓猪骨）,非饮料,方便速食
红牛,饮料,功能饮料
加多宝,饮料,茶饮料
健能酸奶,饮料,乳制品
劲仔小鱼,非饮料,肉干/豆制品/蛋
劲仔小鱼（酱汁味）,非饮料,肉干/豆制品/蛋
劲仔小鱼（卤香味）,非饮料,肉干/豆制品/蛋
劲仔小鱼（麻辣味）,非饮料,肉干/豆制品/蛋
劲仔小鱼（香辣味）,非饮料,肉干/豆制品/蛋
可乐可乐,饮料,碳酸饮料
乐事薯片（黄瓜味）,非饮料,膨化食品
乐事薯片（青柠）,非饮料,膨化食品
丽芝士纳宝帝奶酪威化饼干,非饮料,饼干糕点
脉动（青柠）,饮料,功能饮料
脉动（椰子菠萝口味）,饮料,功能饮料
美汁源果粒橙,饮料,果蔬饮料
咪咪虾条马来西亚风味,非饮料,膨化食品
农夫果园,饮料,果蔬饮料
盼盼手撕面包,非饮料,饼干糕点
巧克力奶油味蛋糕,非饮料,饼干糕点
雀巢咖啡,饮料,咖啡
日式鱼果,非饮料,膨化食品
上好佳田园薯片,非饮料,膨化食品
双汇玉米热狗肠,非饮料,肉干/豆制品/蛋
顺宝九制梅,非饮料,蜜饯/果干
四洲粟一烧烧烤味,非饮料,膨化食品
泰奇八宝粥,非饮料,方便速食
统一阿萨姆奶茶,饮料,茶饮料
统一来一桶香辣老坛酸菜牛肉面,非饮料,方便速食
旺仔牛奶,饮料,乳制品
旺仔牛奶145ml,饮料,乳制品
维他奶（巧克力味）,饮料,植物蛋白
维他奶黑豆奶饮品,饮料,植物蛋白
维他柠檬茶,饮料,茶饮料
维他原味豆奶,饮料,植物蛋白
卫龙亲嘴烧红烧牛肉味,非饮料,肉干/豆制品/蛋
卫龙亲嘴烧麦辣鸡汁味,非饮料,肉干/豆制品/蛋
味之不规则饼干（番茄味）,非饮料,饼干糕点
味之不规则饼干（芝士味）,非饮料,饼干糕点
无穷烤鸡小腿（蜂蜜）,非饮料,肉干/豆制品/蛋
无穷农场盐_鸡蛋,非饮料,肉干/豆制品/蛋
小茗同学（青柠红茶）,饮料,茶饮料
小茗同学冷泡茶（乳酸菌味）,饮料,茶饮料
新麦潮北海道吐司,非饮料,饼干糕点
新麦潮手撕面包（提子味）,非饮料,饼干糕点
新麦潮天然酵母面包,非饮料,饼干糕点
新麦潮天然酵母面包（良品铺子）,非饮料,饼干糕点
新麦潮天然酵母面包（牛奶风味）,非饮料,饼干糕点
雪碧,饮料,碳酸饮料
燕塘红枣牛奶,饮料,乳制品
燕塘甜牛奶,饮料,乳制品
燕塘原味酸奶,饮料,乳制品
益力多100g*5瓶,饮料,乳制品
优益C活菌型乳酸菌饮品,饮料,乳制品
越南LIPO奶味面包干100g,非饮料,饼干糕点
越南LIPO奶味面包干10g,非饮料,饼干糕点
100g卫龙点心面黑椒牛排味,非饮料,肉干/豆制品/蛋
10g越南LIPO奶味面包干0015,非饮料,饼干糕点
10g越南LIPO奶味面包干0046,非饮料,饼干糕点
14g德芙巧克力,非饮料,糖果/巧克力
180g统一满汉全席台式半筋半肉牛肉面,非饮料,方便速食
188g澳门永辉鸡仔饼,非饮料,饼干糕点
20g马来西亚风味咪咪蟹味粒0219,非饮料,膨化食品
220g宝丰龙龟苓膏绿豆味,非饮料,果冻/龟苓膏
250ml统一麦香奶茶,饮料,茶饮料
260g马来西亚进口茱蒂丝口口香饼干,非饮料,饼干糕点
330ml伊利畅意乳酸菌草莓味,饮料,乳制品
37.5g费列罗榛果威化巧克力3颗,非饮料,糖果/巧克力
40g乐事薯片墨西哥鸡汁番茄味,非饮料,膨化食品
40g呀土豆薯片滋香烤鸡味,非饮料,膨化食品
45g双汇泡面拍挡,非饮料,肉干/豆制品/蛋
48g好丽友薯愿香烤原味,非饮料,膨化食品
500ml康师傅冰糖雪梨,饮料,果蔬饮料
52g旺旺仙贝,非饮料,膨化食品
65g卫龙亲嘴豆皮,非饮料,肉干/豆制品/蛋
68g好丽友巧克力派2枚,非饮料,饼干糕点
70g乐事薯片黄瓜味,非饮料,膨化食品
70g乐事薯片原味,非饮料,膨化食品
78g卫龙亲嘴语辣条,非饮料,肉干/豆制品/蛋
上好佳洋葱圈,非饮料,膨化食品
诗竹竹纤维面巾纸,非饮料,纸巾
117gUFO炒面铁板色拉鱿鱼风味,非饮料,方便速食
123gUFO炒面XO酱海鲜风味,非饮料,方便速食
150g旺通葱油薄饼/鸡香,非饮料,膨化食品
150g忆心广东野芒果,非饮料,蜜饯/果干
160g农夫山庄红薯果脯条,非饮料,蜜饯/果干
160g徐福记芝麻沙琪玛,非饮料,饼干糕点
200ml汇源橙汁100%,饮料,果蔬饮料
20g马来西亚风味咪咪蟹味粒5744,非饮料,膨化食品
220g宝丰龙龟苓膏菊花味,非饮料,果冻/龟苓膏
225g味之不规则饼干酸奶味+洋葱味,非饮料,饼干糕点
32g卫龙亲嘴烧川香味,非饮料,肉干/豆制品/蛋
34g公仔迷你杯牛肉味,非饮料,方便速食
3g美好时光海苔,非饮料,海味零食
50g不二家棒棒糖,非饮料,糖果/巧克力
70g乐事薯片青柠味,非饮料,膨化食品
多力多滋（劲浓芝士味）,非饮料,膨化食品
多力多滋（烈焰烧烤味）,非饮料,膨化食品
味之不规则饼干（韩国泡菜味）,非饮料,膨化食品
100g果王咸柑桔罐装,非饮料,蜜饯/果干
130g果王玉带蚕豆,非饮料,坚果炒货
145g果王迷你山楂包装,非饮料,蜜饯/果干
150g洽洽原香瓜子,非饮料,坚果炒货
250ml维他椰子植物蛋白饮料,饮料,植物蛋白
30g元朗小蛋卷,非饮料,饼干糕点
91g徐福记凤梨酥,非饮料,饼干糕点
250ml维他奶低糖原味,饮料,植物蛋白
50g上好佳日式鱼果,非饮料,膨化食品
370g泰奇八宝粥,非饮料,方便速食
34g公仔迷你杯风味排骨味,非饮料,方便速食
205g伊利安慕希原味,饮料,乳制品
40g乐事美国经典原味,非饮料,膨化食品
40g乐事薯片黄瓜味,非饮料,膨化食品
40g呀土豆番茄酱味,非饮料,膨化食品
32g卫龙亲嘴烧,非饮料,肉干/豆制品/蛋
250ml王老吉盒装,饮料,茶饮料
180ml雀巢咖啡罐装,饮料,咖啡
80g香飘飘椰果奶茶原味,饮料,茶饮料
205ml安慕希蓝莓味,饮料,乳制品
83g汤达人酸辣豚骨拉面,非饮料,方便速食
55g奥利奥迷你杯夹心小饼干杯装原味,非饮料,饼干糕点
103g康师傅红烧牛肉面,非饮料,方便速食
250ml维他椰子植物蛋白饮料9374,饮料,植物蛋白
80g香飘飘椰果奶茶麦香味,饮料,茶饮料
500ml营养快线原味,饮料,乳制品
500ml恒大冰泉矿泉水,饮料,水
12g劲仔小鱼卤香味,非饮料,肉干/豆制品/蛋
50g双层百力滋奶咖味,非饮料,饼干糕点
50g双层百力滋特浓番茄味,非饮料,饼干糕点
250ml维他椰子味豆奶7716,饮料,植物蛋白
150抽诗竹竹纤维面巾纸,非饮料,纸巾
68g好丽友蛋黄派2枚,非饮料,饼干糕点
250ml维他奶黑豆奶饮品,饮料,植物蛋白
5片装益达绿箭口香糖,非饮料,糖果/巧克力
55g奥利奥原味夹心饼干,非饮料,饼干糕点
107g出前一丁桶面酱香牛肉王,非饮料,方便速食
78g合味道杯面香菇炖鸡风味,非饮料,方便速食
13g雀巢咖啡1+2特浓,饮料,咖啡
500ml统一冰糖雪梨,饮料,果蔬饮料
好吃点,非饮料,饼干糕点
银鹭八宝粥,饮料,方便速食
营养快线,饮料,乳制品
统一冰红茶,饮料,茶饮料
阿萨姆奶茶,饮料,茶饮料
茉莉蜜茶,饮料,茶饮料
可口可乐（500ml）,饮料,碳酸饮料
小鱼仔,非饮料,海味零食
东鹏特饮,饮料,功能饮料
红利群（硬）,非饮料,香烟
伊利优酸乳,饮料,乳制品
香脆肠,非饮料,肉干/豆制品/蛋
怡宝矿泉水,饮料,水
统一绿茶,饮料,茶饮料
维他奶,饮料,植物蛋白
卫龙大面筋,非饮料,肉干/豆制品/蛋
口味王槟榔（绿）,非饮料,蜜饯/果干
香豆干,非饮料,肉干/豆制品/蛋
印尼芝士威化饼干,非饮料,饼干糕点
王老吉（500ml）,饮料,茶饮料
阿萨姆煎茶奶绿,饮料,茶饮料
康师傅矿泉水,饮料,水
椰树牌椰汁,饮料,植物蛋白
小糖衣血糖试纸,非饮料,其他
好吃点小饼干,非饮料,饼干糕点
商品14,饮料,其他
伊利纯牛奶,饮料,乳制品
口味王槟榔（红）,非饮料,蜜饯/果干
脉动,饮料,功能饮料
怡宝纯净水,饮料,水
雪碧330ml,饮料,碳酸饮料
雪碧（500ml）,饮料,碳酸饮料
王老吉（罐）,饮料,茶饮料
芬达330ml,饮料,碳酸饮料
可口可乐最新款,饮料,碳酸饮料
雪碧最新款,饮料,碳酸饮料
可口可乐330ml,饮料,碳酸饮料
果粒橙,饮料,果蔬饮料
鸭翅,非饮料,肉干/豆制品/蛋
美年达（罐）,饮料,碳酸饮料
冰糖雪梨,饮料,果蔬饮料
百事可乐330ml,饮料,碳酸饮料
小糖衣血糖仪,非饮料,其他
小茗同学,饮料,茶饮料
熊字饼,非饮料,饼干糕点
迷你纸巾,非饮料,纸巾
汤达人方便面,非饮料,方便速食
商品21,非饮料,其他
商品1,饮料,其他
商品2,饮料,其他
湘潭铺子(羽泉版),非饮料,蜜饯/果干
珠江纯生啤酒,饮料,功能饮料
尖叫,饮料,功能饮料
怡宝,饮料,水
手撕素肉排,非饮料,肉干/豆制品/蛋
无穷烤鸡小腿,非饮料,肉干/豆制品/蛋
商品36,非饮料,其他
每日特惠,非饮料,其他
鸡爪,非饮料,肉干/豆制品/蛋
贡美忆江南充电宝5000mAh,非饮料,其他
利群（硬）,非饮料,香烟
立体声耳机（象牙白）,非饮料,其他
秒充,非饮料,其他
百事可乐500ml,饮料,碳酸饮料
乐虎（380ml）,饮料,功能饮料
芙蓉王,非饮料,香烟
贡美苹果数据线,非饮料,其他
拿铁咖啡（统一）,饮料,咖啡
和成天下（黄）,非饮料,香烟
冰红茶（罐）,饮料,茶饮料
凤爪,非饮料,肉干/豆制品/蛋
康师傅拉面(袋),非饮料,方便速食
和成天下（红）,非饮料,香烟
天地一号,饮料,果蔬饮料
维他柠檬茶330ml（罐）,饮料,茶饮料
雪力矿泉水,饮料,水
可口可乐330ml（罐）,饮料,碳酸饮料
乐虎,饮料,功能饮料
口味王槟榔（绿色）,非饮料,蜜饯/果干
娃哈哈红枣酸奶,饮料,乳制品
咪咪,非饮料,膨化食品
安慕希酸奶,饮料,乳制品
威化饼干,非饮料,饼干糕点
经典奶茶,饮料,茶饮料
芦荟汁,饮料,果蔬饮料
汤达人桶面,非饮料,方便速食
250ml香满楼纯牛奶,饮料,乳制品
58.5g钙芝奶酪味高钙威化饼干,非饮料,饼干糕点
可乐（500ml）,饮料,碳酸饮料
